id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"293S0293002493";"0293002493";"";"293S";"0001-01-01";"1983-04-28";"D";"S";"RENCONTRES INTERNATIONALES DE LA JEUNESSE";"Favoriser des echanges entre des jeunes de differentes nationalites";"000000";"000000";"25, rue cadiou";"";"";"29250";"SAINT-POL-DE-LEON";"29259";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002494";"0293002494";"";"293S";"0001-01-01";"1983-05-08";"D";"S";"ASSOCIATION DES ELUS DE L'OPPOSITION NATIONALE DU PAYS DE MORLAIX";"Rassembler tous les elus de la circonscription de morlaix 1 attacher a la defense et au developpement des idees et des actionsdes differentes tendance de l'opposition nationale promouvoir toutes les actions utiles au developpement de la";"000000";"000000";"61, rue a. de guernisac";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002496";"0293002496";"";"293S";"0001-01-01";"1983-05-06";"D";"S";"ASSOCIATION DES LOCATAIRES DE LA RESIDENCE KELOU MAD";"Creer et entretenir des relations entre les locataires de la residence et l'o.p.d.h.l.m. ou toute autre administration dans un souci d'information et de defense ameliorer le cadre de vie de la residence animer le quartier";"000000";"000000";"Local de reunion";"Residence kelou mad";"";"29250";"SAINT-POL-DE-LEON";"29259";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002500";"0293002500";"";"293S";"0001-01-01";"1983-05-17";"D";"S";"ASSOCIATION CARANTECOISE DE FORMATION ET D'INFORMATION CIVIQUES";"Informer ses adherents sur les droits que leur confere la loi donner une formation qui leur permette de mieux comprendre les structures adminsitratives et economiques prendre une part active a la vie de la commune defendre les interets collectifs";"000000";"000000";"19, rue des freres ollivier";"";"";"29226";"CARANTEC";"29023";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002501";"0293002501";"";"293S";"0001-01-01";"1983-05-21";"D";"S";"COMITE DE PROMOTION ET DE SOUTIEN AU MODELISME BRETON";"Defense et propagation du modelisme";"000000";"000000";"10, place emile souvestre";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002504";"0293002504";"";"293S";"0001-01-01";"1983-05-31";"D";"S";"ASSOCIATION POUR LA PROTECTION DU SITE DU KELENN";"Preserver le site du kelenn a carantec et proposer des solutions alternatives pour l'amenagement de ce site touristique";"000000";"000000";"Pen al land";"";"";"29226";"CARANTEC";"29023";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002506";"0293002506";"";"293S";"0001-01-01";"1983-06-15";"D";"S";"DARDERIEN A CROAS HENT";"Organisation des rencontres amicales et sportives entre joueurs de flechettes. participation aux championnats de ce jeu";"000000";"000000";"Cafe hent ar mer";"Le croissant";"";"29250";"PLOUGOULM";"29192";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002508";"0293002508";"";"293S";"0001-01-01";"1983-06-16";"D";"S";"QUARTIER DE CROAS AL LEURIOU ET LA CAMPAGNE LANDIVISIENNE";"Organisation de jeux, de fetes, de l'animation et de la defense des interets du quartier";"000000";"000000";"Kerver";"";"";"29230";"LANDIVISIAU";"29105";"PM";"";"W293003376";"R";"";"2017-04-06  04:37:06"
"293S0293002510";"0293002510";"";"293S";"0001-01-01";"1983-06-22";"D";"S";"ASSOCIATION DEPARTEMENTALE SUR L'ACCESSIBILITE ACCES 29";"Veiller a la pleine application de la loi d'orientation en matiere d'accessibilite. intervenir aupres des municipalites, pouvoirs publics, maitres d'ouvrages prives ou publics afin que toute personne a mobilite reduite puisse vivre a part entiere";"000000";"000000";"Maison pour tous du plateau";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002511";"0293002511";"";"293S";"0001-01-01";"1983-06-23";"D";"S";"LES LOISIRS PAR LE TRAVAIL";"Promouvoir des efforts d'entr'aide entre les familles par echanges de leurs jeunes garcons et filles (scolaires et etudiants) et les cultivateurs membres de l'association pour les aider a des travaux de saison";"000000";"000000";"Mairie";"";"";"29221";"PLOUNEVEZ-LOCHRIST";"29206";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
